City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,cabedelo,-6.9811,-34.8339,27.67,72,100,5.66,BR,2023-03-04 20:08:29
69,rind,39.7597,45.18,6.31,70,98,1.55,AM,2023-03-04 20:08:29
70,thompson,55.7435,-97.8558,-7.9,80,93,3.77,CA,2023-03-04 20:08:29
71,khatanga,71.9667,102.5,-21.43,99,100,3.22,RU,2023-03-04 20:08:29
72,la ronge,55.1001,-105.2842,-11.88,67,100,6.17,CA,2023-03-04 20:08:29
73,lubango,-14.9172,13.4925,17.15,47,8,1.54,AO,2023-03-04 20:08:30
74,mar del plata,-38.0023,-57.5575,21.57,72,0,1.79,AR,2023-03-04 20:07:06
75,port blair,11.6667,92.75,26.19,76,0,2.3,IN,2023-03-04 20:08:30
76,bethel,41.3712,-73.414,6.63,75,100,4.12,US,2023-03-04 20:08:30
77,presidente bernardes,-22.0061,-51.5531,28.91,69,56,2.45,BR,2023-03-04 20:08:30
78,canon city,38.441,-105.2424,10.56,56,40,2.68,US,2023-03-04 20:08:31
79,taoudenni,22.6783,-3.9836,27.18,12,21,3.97,ML,2023-03-04 20:08:31
80,tual,-5.6667,132.75,27.87,78,100,9.24,ID,2023-03-04 20:08:31
81,kharp,66.8014,65.8081,-25.41,95,22,2.09,RU,2023-03-04 20:08:31
82,atar,20.5169,-13.0499,26.21,18,3,4.46,MR,2023-03-04 20:08:32
83,northam,51.0333,-4.2167,5.34,71,8,1.13,GB,2023-03-04 20:08:32
84,san patricio,28.017,-97.5169,28.98,33,0,5.21,US,2023-03-04 20:08:32
85,upernavik,72.7868,-56.1549,-12.09,80,99,3.61,GL,2023-03-04 20:08:32
86,maceio,-9.6658,-35.7353,28.17,69,1,4.74,BR,2023-03-04 20:08:33
87,hobart,-42.8794,147.3294,16.7,93,75,1.03,AU,2023-03-04 20:08:33
88,mayo,38.8876,-76.5119,14.26,46,0,10.73,US,2023-03-04 20:08:33
89,buchanan,5.8808,-10.0467,27.03,84,2,3.25,LR,2023-03-04 20:08:33
90,longyearbyen,78.2186,15.6401,-14.09,56,75,8.75,SJ,2023-03-04 20:08:33
91,sao gabriel da cachoeira,-0.1303,-67.0892,28.28,79,99,0.97,BR,2023-03-04 20:05:04
92,salalah,17.0151,54.0924,23.52,59,0,0.86,OM,2023-03-04 20:01:56
93,mnogovershinnyy,53.9353,139.9242,-10.69,90,100,2.97,RU,2023-03-04 20:08:34
94,meulaboh,4.1363,96.1285,23.89,88,79,2.09,ID,2023-03-04 20:08:34
95,bani walid,31.7566,13.9942,15.56,23,100,5.67,LY,2023-03-04 20:08:34
96,sarab,38.6066,44.9883,10.69,54,100,2.42,IR,2023-03-04 20:08:35
97,male,4.1748,73.5089,27.97,83,40,6.69,MV,2023-03-04 20:07:36
98,sampit,-2.5333,112.95,22.62,99,100,1.03,ID,2023-03-04 20:08:35
99,save,8.0425,2.486,28.99,59,73,1.12,BJ,2023-03-04 20:08:36
100,kapaa,22.0752,-159.319,25.18,78,20,5.14,US,2023-03-04 20:08:36
101,camabatela,-8.1881,15.375,18.54,96,100,0.98,AO,2023-03-04 20:08:36
102,chkalovskoye,44.8392,133.0436,-8.51,87,5,2.31,RU,2023-03-04 20:08:36
103,ko samui,9.5357,99.9357,26.71,73,80,4.01,TH,2023-03-04 20:08:20
104,anloga,5.7947,0.8973,28.29,79,100,4.41,GH,2023-03-04 20:08:37
105,monrovia,6.3005,-10.7969,27.87,85,9,3.4,LR,2023-03-04 20:08:37
106,mitchell,43.7094,-98.0298,2.99,70,0,5.14,US,2023-03-04 20:08:37
107,college,64.8569,-147.8028,-19.33,72,0,1.54,US,2023-03-04 20:08:37
108,san quintin,30.4833,-115.95,15.14,66,0,6.38,MX,2023-03-04 20:08:38
109,nome,64.5011,-165.4064,-11.96,100,100,10.8,US,2023-03-04 20:08:38
110,saskylakh,71.9167,114.0833,-30.26,100,95,1.34,RU,2023-03-04 20:08:38
111,hollabrunn,48.55,16.0833,5.46,73,18,0.45,AT,2023-03-04 20:08:38
112,jalu,29.0331,21.5482,17.86,61,53,8.62,LY,2023-03-04 20:08:39
113,lagoa,39.05,-27.9833,14.43,69,100,7.37,PT,2023-03-04 20:08:39
114,chuy,-33.6971,-53.4616,25.56,57,42,4.18,UY,2023-03-04 20:08:39
115,tuktoyaktuk,69.4541,-133.0374,-31.43,98,90,2.12,CA,2023-03-04 20:08:39
116,krasnoselkup,65.7,82.4667,-21.1,97,98,4.98,RU,2023-03-04 20:03:42
117,baruun-urt,46.6806,113.2792,-2.3,43,100,4.62,MN,2023-03-04 20:08:40
118,bandarbeyla,9.4942,50.8122,25.02,76,0,6.53,SO,2023-03-04 20:08:40
119,ponta do sol,32.6667,-17.1,20.0,89,49,1.7,PT,2023-03-04 20:08:40
120,esperance,-33.8667,121.9,18.57,64,96,7.64,AU,2023-03-04 20:08:41
121,kokopo,-4.352,152.2633,23.13,94,100,2.43,PG,2023-03-04 20:08:41
122,tazovskiy,67.4667,78.7,-28.77,100,95,3.25,RU,2023-03-04 20:08:41
123,alofi,-19.0595,-169.9187,28.94,84,75,2.57,NU,2023-03-04 20:08:41
124,nyaunglebin,17.95,96.7333,22.45,56,0,2.7,MM,2023-03-04 20:06:18
125,acapulco,16.8634,-99.8901,28.9,65,0,4.12,MX,2023-03-04 20:08:42
126,isangel,-19.55,169.2667,26.43,85,64,2.67,VU,2023-03-04 20:08:42
127,lukovetskiy,64.2956,41.9211,-19.15,100,64,1.94,RU,2023-03-04 20:08:42
